iter	Passed	Remaining
0	0	294
1	2	307
2	2	268
3	4	312
4	5	295
5	6	312
6	6	281
7	7	268
8	7	251
9	8	245
10	9	243
11	9	237
12	10	232
13	10	224
14	11	220
15	12	216
16	12	213
17	13	210
18	13	202
19	14	200
20	14	198
21	15	196
22	15	190
23	16	189
24	17	187
25	17	186
26	18	184
27	18	183
28	21	198
29	22	198
30	23	204
31	24	208
32	26	212
33	27	212
34	28	212
35	29	215
36	30	218
37	31	219
38	32	219
39	33	219
40	35	222
41	35	218
42	36	216
43	36	214
44	37	212
45	38	210
46	38	208
47	39	206
48	39	203
49	40	201
50	40	199
51	41	196
52	41	195
53	42	193
54	42	191
55	43	189
56	44	188
57	44	187
58	45	185
59	45	183
60	46	181
61	46	179
62	47	178
63	48	177
64	48	176
65	49	175
66	50	176
67	51	175
68	52	175
69	53	176
70	54	175
71	54	173
72	55	172
73	56	171
74	56	170
75	57	169
76	58	168
77	58	167
78	59	165
79	59	164
80	60	163
81	61	162
82	61	161
83	62	160
84	63	159
85	63	159
86	64	157
87	65	156
88	65	156
89	66	155
90	67	154
91	67	153
92	68	152
93	69	151
94	69	150
95	70	149
96	70	148
97	71	147
98	72	146
99	72	144
100	73	144
101	73	143
102	74	142
103	74	141
104	75	140
105	76	139
106	76	137
107	77	137
108	77	136
109	78	135
110	79	134
111	79	133
112	80	132
113	80	131
114	81	131
115	82	130
116	83	130
117	84	130
118	85	130
119	86	130
120	87	129
121	88	129
122	89	128
123	89	127
124	90	126
125	91	125
126	91	124
127	92	123
128	92	123
129	93	121
130	93	121
131	94	120
132	95	120
133	96	119
134	97	119
135	97	117
136	98	117
137	99	116
138	99	115
139	100	114
140	100	113
141	101	112
142	103	113
143	104	113
144	105	113
145	107	113
146	108	113
147	109	112
148	111	112
149	115	115
150	116	115
151	117	114
152	118	113
153	119	112
154	119	112
155	120	110
156	120	110
157	121	109
158	122	108
159	122	107
160	123	106
161	123	105
162	124	104
163	125	103
164	125	102
165	127	102
166	127	101
167	128	100
168	128	99
169	129	99
170	130	98
171	131	97
172	131	96
173	132	95
174	132	94
175	133	94
176	134	93
177	134	92
178	135	91
179	135	90
180	136	89
181	137	88
182	137	88
183	138	87
184	138	86
185	139	85
186	140	84
187	140	83
188	141	83
189	142	82
190	143	81
191	143	80
192	144	80
193	146	80
194	147	79
195	147	78
196	148	77
197	149	76
198	149	76
199	150	75
200	151	74
201	151	73
202	152	72
203	152	71
204	153	71
205	154	70
206	154	69
207	155	68
208	155	67
209	156	67
210	157	66
211	157	65
212	158	64
213	158	63
214	159	63
215	160	62
216	161	61
217	161	60
218	163	60
219	165	60
220	166	59
221	166	58
222	167	57
223	167	56
224	168	56
225	169	55
226	169	54
227	170	53
228	171	53
229	171	52
230	172	51
231	172	50
232	173	49
233	174	49
234	174	48
235	175	47
236	176	46
237	179	46
238	181	46
239	183	45
240	183	44
241	184	44
242	184	43
243	185	42
244	186	41
245	186	40
246	187	40
247	187	39
248	188	38
249	188	37
250	189	37
251	190	36
252	190	35
253	191	34
254	192	33
255	192	33
256	193	32
257	194	31
258	194	30
259	195	30
260	195	29
261	196	28
262	197	27
263	199	27
264	200	26
265	201	25
266	203	25
267	204	24
268	205	23
269	206	22
270	207	22
271	207	21
272	208	20
273	209	19
274	209	19
275	210	18
276	210	17
277	211	16
278	212	15
279	212	15
280	213	14
281	214	13
282	214	12
283	215	12
284	215	11
285	216	10
286	216	9
287	217	9
288	218	8
289	218	7
290	219	6
291	219	6
292	220	5
293	221	4
294	222	3
295	222	3
296	223	2
297	223	1
298	224	0
299	225	0
