iter	Passed	Remaining
0	4	1254
1	7	1149
2	11	1114
3	14	1094
4	20	1183
5	23	1175
6	27	1134
7	31	1163
8	37	1200
9	42	1222
10	47	1250
11	52	1266
12	57	1272
13	62	1271
14	69	1313
15	74	1322
16	79	1328
17	85	1339
18	90	1335
19	95	1337
20	100	1341
21	106	1340
22	110	1335
23	115	1332
24	121	1333
25	125	1326
26	131	1327
27	136	1328
28	141	1321
29	146	1318
30	152	1321
31	157	1316
32	162	1318
33	168	1320
34	173	1314
35	178	1310
36	183	1307
37	189	1307
38	193	1294
39	196	1279
40	200	1265
41	203	1251
42	207	1237
43	211	1230
44	215	1223
45	219	1210
46	222	1197
47	225	1183
48	229	1173
49	233	1169
50	237	1160
51	241	1153
52	246	1146
53	250	1140
54	254	1134
55	257	1123
56	261	1113
57	265	1105
58	268	1096
59	272	1088
60	275	1080
61	280	1076
62	285	1072
63	288	1065
64	293	1059
65	297	1056
66	301	1048
67	304	1039
68	309	1034
69	313	1029
70	318	1025
71	322	1020
72	326	1015
73	331	1013
74	335	1007
75	339	1000
76	343	993
77	346	986
78	351	983
79	355	978
80	359	973
81	364	968
82	367	960
83	371	954
84	375	948
85	379	944
86	383	938
87	387	932
88	391	927
89	395	923
90	400	919
91	404	913
92	408	909
93	412	903
94	415	897
95	420	893
96	425	890
97	430	887
98	434	881
99	439	878
100	443	872
101	446	866
102	452	865
103	456	860
104	460	854
105	463	848
106	466	841
107	470	835
108	474	831
109	478	826
110	482	821
111	486	817
112	490	812
113	494	806
114	498	801
115	502	797
116	506	792
117	510	787
118	513	781
119	517	776
120	522	773
121	527	770
122	531	764
123	535	760
124	539	754
125	543	750
126	547	745
127	551	740
128	554	735
129	558	730
130	564	727
131	568	724
132	574	720
133	577	715
134	581	710
135	584	705
136	588	699
137	593	696
138	597	691
139	600	686
140	605	682
141	609	678
142	614	674
143	618	669
144	623	666
145	627	661
146	632	658
147	636	653
148	642	651
149	646	646
150	650	641
151	653	636
152	657	632
153	661	627
154	665	622
155	669	617
156	673	613
157	677	608
158	680	603
159	684	598
160	689	594
161	693	590
162	696	585
163	700	581
164	704	576
165	708	571
166	712	567
167	716	562
168	720	558
169	725	554
170	729	550
171	732	545
172	738	542
173	743	538
174	747	533
175	751	529
176	755	525
177	759	520
178	763	515
179	766	510
180	771	507
181	775	502
182	780	498
183	784	494
184	788	490
185	791	485
186	794	480
187	798	475
188	803	472
189	808	468
190	812	463
191	815	458
192	819	454
193	823	450
194	828	446
195	833	442
196	838	438
197	843	434
198	847	430
199	853	426
200	857	422
201	861	417
202	866	414
203	871	409
204	875	405
205	879	401
206	883	397
207	888	392
208	892	388
209	896	384
210	901	380
211	905	375
212	909	371
213	913	366
214	917	362
215	922	358
216	927	354
217	931	350
218	935	345
219	939	341
220	942	336
221	946	332
222	951	328
223	955	324
224	960	320
225	964	315
226	968	311
227	971	306
228	975	302
229	980	298
230	986	294
231	991	290
232	995	286
233	1000	282
234	1004	277
235	1008	273
236	1012	269
237	1017	265
238	1022	261
239	1026	256
240	1031	252
241	1035	248
242	1038	243
243	1042	239
244	1046	234
245	1051	230
246	1056	226
247	1062	222
248	1067	218
249	1072	214
250	1077	210
251	1082	206
252	1087	202
253	1093	198
254	1099	193
255	1103	189
256	1109	185
257	1115	181
258	1120	177
259	1125	173
260	1131	169
261	1137	164
262	1142	160
263	1148	156
264	1153	152
265	1158	148
266	1164	143
267	1169	139
268	1175	135
269	1180	131
270	1185	126
271	1190	122
272	1195	118
273	1202	114
274	1207	109
275	1212	105
276	1217	101
277	1222	96
278	1228	92
279	1234	88
280	1237	83
281	1240	79
282	1244	74
283	1248	70
284	1252	65
285	1256	61
286	1261	57
287	1264	52
288	1268	48
289	1271	43
290	1275	39
291	1283	35
292	1288	30
293	1294	26
294	1299	22
295	1304	17
296	1309	13
297	1315	8
298	1320	4
299	1324	0
