iter	Passed	Remaining
0	3	1019
1	7	1166
2	11	1112
3	13	1004
4	16	959
5	19	939
6	22	941
7	25	913
8	27	891
9	30	874
10	32	864
11	35	853
12	38	855
13	41	854
14	44	841
15	47	835
16	51	853
17	55	869
18	57	855
19	60	843
20	62	831
21	65	821
22	67	813
23	71	816
24	73	806
25	75	798
26	78	792
27	81	787
28	83	779
29	85	772
30	87	757
31	89	751
32	92	746
33	95	748
34	98	744
35	100	738
36	103	733
37	106	733
38	108	727
39	111	726
40	114	721
41	116	715
42	119	712
43	121	709
44	124	707
45	127	705
46	130	700
47	132	696
48	138	708
49	141	709
50	145	709
51	148	707
52	152	710
53	155	709
54	158	707
55	161	704
56	164	700
57	166	696
58	170	695
59	172	691
60	175	688
61	178	684
62	180	680
63	183	677
64	186	672
65	188	668
66	191	666
67	194	662
68	197	660
69	199	655
70	201	651
71	204	647
72	207	646
73	211	644
74	213	641
75	216	637
76	218	633
77	221	630
78	224	629
79	228	627
80	230	623
81	232	619
82	235	615
83	237	611
84	241	609
85	245	610
86	248	607
87	251	605
88	253	602
89	259	606
90	262	603
91	265	599
92	267	595
93	270	592
94	278	600
95	280	596
96	283	592
97	285	588
98	290	589
99	292	585
100	295	581
101	297	578
102	300	574
103	303	571
104	305	568
105	308	564
106	310	560
107	313	556
108	315	553
109	317	549
110	321	547
111	324	544
112	327	541
113	329	538
114	332	534
115	334	530
116	337	528
117	341	526
118	343	522
119	346	519
120	348	516
121	351	513
122	354	510
123	358	508
124	361	505
125	364	502
126	368	502
127	371	499
128	373	495
129	376	492
130	379	489
131	381	485
132	385	484
133	388	480
134	390	477
135	393	474
136	395	470
137	398	467
138	401	465
139	404	462
140	408	460
141	411	457
142	416	457
143	420	455
144	423	452
145	425	449
146	428	445
147	430	442
148	433	439
149	435	435
150	438	432
151	441	429
152	443	426
153	446	422
154	448	419
155	451	416
156	453	413
157	457	411
158	460	408
159	463	405
160	467	403
161	470	400
162	473	397
163	475	394
164	478	391
165	482	389
166	485	386
167	488	383
168	490	380
169	493	377
170	495	373
171	499	371
172	501	368
173	504	365
174	507	362
175	509	359
176	511	355
177	514	352
178	517	349
179	519	346
180	522	343
181	524	340
182	527	337
183	530	334
184	533	331
185	540	331
186	547	330
187	551	328
188	554	325
189	557	322
190	559	319
191	564	317
192	566	314
193	571	312
194	573	308
195	576	305
196	580	303
197	585	301
198	587	298
199	590	295
200	592	292
201	597	289
202	600	286
203	602	283
204	605	280
205	607	277
206	611	274
207	616	272
208	619	269
209	621	266
210	624	263
211	626	260
212	630	257
213	633	254
214	635	251
215	638	248
216	640	245
217	646	243
218	649	240
219	653	237
220	656	234
221	660	232
222	663	228
223	665	225
224	668	222
225	670	219
226	673	216
227	676	213
228	679	210
229	681	207
230	684	204
231	687	201
232	689	198
233	693	195
234	696	192
235	698	189
236	701	186
237	703	183
238	706	180
239	713	178
240	716	175
241	718	172
242	721	169
243	725	166
244	727	163
245	730	160
246	733	157
247	735	154
248	738	151
249	741	148
250	744	145
251	748	142
252	751	139
253	753	136
254	756	133
255	759	130
256	762	127
257	765	124
258	769	121
259	771	118
260	774	115
261	777	112
262	779	109
263	783	106
264	785	103
265	788	100
266	791	97
267	793	94
268	796	91
269	800	88
270	802	85
271	807	83
272	811	80
273	814	77
274	817	74
275	820	71
276	822	68
277	825	65
278	828	62
279	833	59
280	836	56
281	839	53
282	841	50
283	844	47
284	847	44
285	850	41
286	852	38
287	855	35
288	857	32
289	861	29
290	864	26
291	866	23
292	868	20
293	871	17
294	873	14
295	876	11
296	879	8
297	881	5
298	883	2
299	887	0
